group: algebra

Paciente = {
	CPF_Paciente:string, email:string, nome:string, endereco_UF:string, endereco_lagradouro:string, endereco_bairro:string, endereco_CEP:string, endereco_numero:string, endereco_cidade:string
"10000010001", "ana.luiza@example.com", "Ana Luiza", "BA", "Rua Modelo", "Centro", "45000000", "655", "Vitoria da Conquista"
"10000010002", "joao.vitorlemos@example.com", "Joao Vitor Lemos", "BA", "Rua Modelo", "Centro", "45000000", "115", "Vitoria da Conquista"
"10000010003", "grazielly.barros@example.com", "Grazielly Barros", "BA", "Rua Modelo", "Centro", "45000000", "26", "Vitoria da Conquista"
"10000010004", "bruno.campos@example.com", "Bruno Campos", "BA", "Rua Modelo", "Centro", "45000000", "760", "Vitoria da Conquista"
"10000020000",  "marina.pinto@example.com",  "Marina Pinto", "BA", "Rua Aleatoria", "Bairro", "45000000", "282", "Vitoria da Conquista"
"10000020001",  "roberto.moura@example.com",  "Roberto Moura", "BA", "Rua Aleatoria", "Bairro", "45000001", "251", "Vitoria da Conquista"
"10000020002",  "camila.moura@example.com",  "Camila Moura", "BA", "Rua Aleatoria", "Bairro", "45000002", "229", "Vitoria da Conquista"
"10000020003",  "marcos.gomes@example.com",  "Marcos Gomes", "BA", "Rua Aleatoria", "Bairro", "45000003", "143", "Vitoria da Conquista"
"10000020004",  "sofia.moura@example.com",  "Sofia Moura", "BA", "Rua Aleatoria", "Bairro", "45000004", "755", "Vitoria da Conquista"
"10000020005",  "paula.araujo@example.com",  "Paula Araujo", "BA", "Rua Aleatoria", "Bairro", "45000005", "105", "Vitoria da Conquista"
"10000020006",  "marcelo.costa@example.com",  "Marcelo Costa", "BA", "Rua Aleatoria", "Bairro", "45000006", "693", "Vitoria da Conquista"
"10000020007",  "sofia.almeida@example.com",  "Sofia Almeida", "BA", "Rua Aleatoria", "Bairro", "45000007", "759", "Vitoria da Conquista"
"10000020008",  "roberto.pereira@example.com",  "Roberto Pereira", "BA", "Rua Aleatoria", "Bairro", "45000008", "914", "Vitoria da Conquista"
"10000020009",  "thiago.oliveira@example.com",  "Thiago Oliveira", "BA", "Rua Aleatoria", "Bairro", "45000009", "559", "Vitoria da Conquista"
"10000020010",  "gabriel.lima@example.com",  "Gabriel Lima", "BA", "Rua Aleatoria", "Bairro", "45000010", "90", "Vitoria da Conquista"
"10000020011",  "andre.souza@example.com",  "Andre Souza", "BA", "Rua Aleatoria", "Bairro", "45000011", "605", "Vitoria da Conquista"
"10000020012",  "eduardo.costa@example.com",  "Eduardo Costa", "BA", "Rua Aleatoria", "Bairro", "45000012", "433", "Vitoria da Conquista"
"10000020013",  "thiago.ferreira@example.com",  "Thiago Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000013", "33", "Vitoria da Conquista"
"10000020014",  "daniela.pereira@example.com",  "Daniela Pereira", "BA", "Rua Aleatoria", "Bairro", "45000014", "31", "Vitoria da Conquista"
"10000020015",  "bruna.moura@example.com",  "Bruna Moura", "BA", "Rua Aleatoria", "Bairro", "45000015", "96", "Vitoria da Conquista"
"10000020016",  "bruno.almeida@example.com",  "Bruno Almeida", "BA", "Rua Aleatoria", "Bairro", "45000016", "224", "Vitoria da Conquista"
"10000020017",  "isabela.rocha@example.com",  "Isabela Rocha", "BA", "Rua Aleatoria", "Bairro", "45000017", "239", "Vitoria da Conquista"
"10000020018",  "marcelo.costa@example.com",  "Marcelo Costa", "BA", "Rua Aleatoria", "Bairro", "45000018", "518", "Vitoria da Conquista"
"10000020019",  "vitor.santos@example.com",  "Vitor Santos", "BA", "Rua Aleatoria", "Bairro", "45000019", "617", "Vitoria da Conquista"
"10000020020",  "ana.ferreira@example.com",  "Ana Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000020", "28", "Vitoria da Conquista"
"10000020021",  "jose.santos@example.com",  "Jose Santos", "BA", "Rua Aleatoria", "Bairro", "45000021", "575", "Vitoria da Conquista"
"10000020022",  "bruno.lopes@example.com",  "Bruno Lopes", "BA", "Rua Aleatoria", "Bairro", "45000022", "204", "Vitoria da Conquista"
"10000020023",  "renata.lima@example.com",  "Renata Lima", "BA", "Rua Aleatoria", "Bairro", "45000023", "734", "Vitoria da Conquista"
"10000020024",  "marcio.almeida@example.com",  "Marcio Almeida", "BA", "Rua Aleatoria", "Bairro", "45000024", "666", "Vitoria da Conquista"
"10000020025",  "andre.costa@example.com",  "Andre Costa", "BA", "Rua Aleatoria", "Bairro", "45000025", "719", "Vitoria da Conquista"
"10000020026",  "vitor.barros@example.com",  "Vitor Barros", "BA", "Rua Aleatoria", "Bairro", "45000026", "559", "Vitoria da Conquista"
"10000020027",  "isabela.lopes@example.com",  "Isabela Lopes", "BA", "Rua Aleatoria", "Bairro", "45000027", "430", "Vitoria da Conquista"
"10000020028",  "ana.araujo@example.com",  "Ana Araujo", "BA", "Rua Aleatoria", "Bairro", "45000028", "226", "Vitoria da Conquista"
"10000020029",  "renata.lima@example.com",  "Renata Lima", "BA", "Rua Aleatoria", "Bairro", "45000029", "460", "Vitoria da Conquista"
"10000020030",  "bruno.pinto@example.com",  "Bruno Pinto", "BA", "Rua Aleatoria", "Bairro", "45000030", "604", "Vitoria da Conquista"
"10000020031",  "marcio.silva@example.com",  "Marcio Silva", "BA", "Rua Aleatoria", "Bairro", "45000031", "285", "Vitoria da Conquista"
"10000020032",  "vitor.oliveira@example.com",  "Vitor Oliveira", "BA", "Rua Aleatoria", "Bairro", "45000032", "829", "Vitoria da Conquista"
"10000020033",  "marcelo.oliveira@example.com",  "Marcelo Oliveira", "BA", "Rua Aleatoria", "Bairro", "45000033", "891", "Vitoria da Conquista"
"10000020034",  "marcos.nunes@example.com",  "Marcos Nunes", "BA", "Rua Aleatoria", "Bairro", "45000034", "7", "Vitoria da Conquista"
"10000020035",  "isabela.gomes@example.com",  "Isabela Gomes", "BA", "Rua Aleatoria", "Bairro", "45000035", "778", "Vitoria da Conquista"
"10000020036",  "lucas.lopes@example.com",  "Lucas Lopes", "BA", "Rua Aleatoria", "Bairro", "45000036", "826", "Vitoria da Conquista"
"10000020037",  "rafael.ferreira@example.com",  "Rafael Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000037", "164", "Vitoria da Conquista"
"10000020038",  "sofia.araujo@example.com",  "Sofia Araujo", "BA", "Rua Aleatoria", "Bairro", "45000038", "715", "Vitoria da Conquista"
"10000020039",  "isabela.pinto@example.com",  "Isabela Pinto", "BA", "Rua Aleatoria", "Bairro", "45000039", "433", "Vitoria da Conquista"
"10000020040",  "carlos.silva@example.com",  "Carlos Silva", "BA", "Rua Aleatoria", "Bairro", "45000040", "349", "Vitoria da Conquista"
"10000020041",  "larissa.barros@example.com",  "Larissa Barros", "BA", "Rua Aleatoria", "Bairro", "45000041", "285", "Vitoria da Conquista"
"10000020042",  "vitor.oliveira@example.com",  "Vitor Oliveira", "BA", "Rua Aleatoria", "Bairro", "45000042", "160", "Vitoria da Conquista"
"10000020043",  "gustavo.costa@example.com",  "Gustavo Costa", "BA", "Rua Aleatoria", "Bairro", "45000043", "221", "Vitoria da Conquista"
"10000020044",  "gabriel.lima@example.com",  "Gabriel Lima", "BA", "Rua Aleatoria", "Bairro", "45000044", "981", "Vitoria da Conquista"
"10000020045",  "roberto.lima@example.com",  "Roberto Lima", "BA", "Rua Aleatoria", "Bairro", "45000045", "782", "Vitoria da Conquista"
"10000020046",  "bruno.nunes@example.com",  "Bruno Nunes", "BA", "Rua Aleatoria", "Bairro", "45000046", "345", "Vitoria da Conquista"
"10000020047",  "camila.ribeiro@example.com",  "Camila Ribeiro", "BA", "Rua Aleatoria", "Bairro", "45000047", "105", "Vitoria da Conquista"
"10000020048",  "mariana.almeida@example.com",  "Mariana Almeida", "BA", "Rua Aleatoria", "Bairro", "45000048", "95", "Vitoria da Conquista"
"10000020049",  "andre.silva@example.com",  "Andre Silva", "BA", "Rua Aleatoria", "Bairro", "45000049", "390", "Vitoria da Conquista"
"10000020050",  "marina.araujo@example.com",  "Marina Araujo", "BA", "Rua Aleatoria", "Bairro", "45000050", "100", "Vitoria da Conquista"
"10000020051",  "marcio.pinto@example.com",  "Marcio Pinto", "BA", "Rua Aleatoria", "Bairro", "45000051", "368", "Vitoria da Conquista"
"10000020052",  "larissa.barros@example.com",  "Larissa Barros", "BA", "Rua Aleatoria", "Bairro", "45000052", "868", "Vitoria da Conquista"
"10000020053",  "isabela.silva@example.com",  "Isabela Silva", "BA", "Rua Aleatoria", "Bairro", "45000053", "353", "Vitoria da Conquista"
"10000020054",  "carlos.gomes@example.com",  "Carlos Gomes", "BA", "Rua Aleatoria", "Bairro", "45000054", "619", "Vitoria da Conquista"
"10000020055",  "sofia.ferreira@example.com",  "Sofia Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000055", "271", "Vitoria da Conquista"
"10000020056",  "gustavo.ribeiro@example.com",  "Gustavo Ribeiro", "BA", "Rua Aleatoria", "Bairro", "45000056", "827", "Vitoria da Conquista"
"10000020057",  "mateus.oliveira@example.com",  "Mateus Oliveira", "BA", "Rua Aleatoria", "Bairro", "45000057", "45", "Vitoria da Conquista"
"10000020058",  "ana.carvalho@example.com",  "Ana Carvalho", "BA", "Rua Aleatoria", "Bairro", "45000058", "748", "Vitoria da Conquista"
"10000020059",  "marina.ribeiro@example.com",  "Marina Ribeiro", "BA", "Rua Aleatoria", "Bairro", "45000059", "471", "Vitoria da Conquista"
"10000020060",  "daniela.barros@example.com",  "Daniela Barros", "BA", "Rua Aleatoria", "Bairro", "45000060", "550", "Vitoria da Conquista"
"10000020061",  "bruno.ferreira@example.com",  "Bruno Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000061", "128", "Vitoria da Conquista"
"10000020062",  "lucas.rocha@example.com",  "Lucas Rocha", "BA", "Rua Aleatoria", "Bairro", "45000062", "997", "Vitoria da Conquista"
"10000020063",  "andre.rocha@example.com",  "Andre Rocha", "BA", "Rua Aleatoria", "Bairro", "45000063", "945", "Vitoria da Conquista"
"10000020064",  "jose.ferreira@example.com",  "Jose Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000064", "388", "Vitoria da Conquista"
"10000020065",  "mateus.gomes@example.com",  "Mateus Gomes", "BA", "Rua Aleatoria", "Bairro", "45000065", "81", "Vitoria da Conquista"
"10000020066",  "camila.ferreira@example.com",  "Camila Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000066", "566", "Vitoria da Conquista"
"10000020067",  "marina.pinto@example.com",  "Marina Pinto", "BA", "Rua Aleatoria", "Bairro", "45000067", "301", "Vitoria da Conquista"
"10000020068",  "larissa.ferreira@example.com",  "Larissa Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000068", "850", "Vitoria da Conquista"
"10000020069",  "sofia.ferreira@example.com",  "Sofia Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000069", "644", "Vitoria da Conquista"
