group: algebra

Paciente = {
	CPF_Paciente:string, email:string, nome:string, endereco_UF:string, endereco_rua:string, endereco_bairro:string, endereco_CEP:string, endereco_numero:string, endereco_cidade:string
"10000010001", "ana.luiza@example.com", "Ana Luiza", "BA", "Rua Modelo", "Centro", "45000000", "655", "Vitória da Conquista"
"10000010002", "joao.vitorlemos@example.com", "João Vitor Lemos", "BA", "Rua Modelo", "Centro", "45000000", "115", "Vitória da Conquista"
"10000010003", "grazielly.barros@example.com", "Grazielly Barros", "BA", "Rua Modelo", "Centro", "45000000", "26", "Vitória da Conquista"
"10000010004", "bruno.campos@example.com", "Bruno Campos", "BA", "Rua Modelo", "Centro", "45000000", "760", "Vitória da Conquista"
"10000020000", "user1000@example.com", "Paciente_1", "BA", "Rua Aleatória", "Bairro", "45000000", "282", "Vitória da Conquista"
"10000020001", "user1001@example.com", "Paciente_2", "BA", "Rua Aleatória", "Bairro", "45000001", "251", "Vitória da Conquista"
"10000020002", "user1002@example.com", "Paciente_3", "BA", "Rua Aleatória", "Bairro", "45000002", "229", "Vitória da Conquista"
"10000020003", "user1003@example.com", "Paciente_4", "BA", "Rua Aleatória", "Bairro", "45000003", "143", "Vitória da Conquista"
"10000020004", "user1004@example.com", "Paciente_5", "BA", "Rua Aleatória", "Bairro", "45000004", "755", "Vitória da Conquista"
"10000020005", "user1005@example.com", "Paciente_6", "BA", "Rua Aleatória", "Bairro", "45000005", "105", "Vitória da Conquista"
"10000020006", "user1006@example.com", "Paciente_7", "BA", "Rua Aleatória", "Bairro", "45000006", "693", "Vitória da Conquista"
"10000020007", "user1007@example.com", "Paciente_8", "BA", "Rua Aleatória", "Bairro", "45000007", "759", "Vitória da Conquista"
"10000020008", "user1008@example.com", "Paciente_9", "BA", "Rua Aleatória", "Bairro", "45000008", "914", "Vitória da Conquista"
"10000020009", "user1009@example.com", "Paciente_10", "BA", "Rua Aleatória", "Bairro", "45000009", "559", "Vitória da Conquista"
"10000020010", "user1010@example.com", "Paciente_11", "BA", "Rua Aleatória", "Bairro", "45000010", "90", "Vitória da Conquista"
"10000020011", "user1011@example.com", "Paciente_12", "BA", "Rua Aleatória", "Bairro", "45000011", "605", "Vitória da Conquista"
"10000020012", "user1012@example.com", "Paciente_13", "BA", "Rua Aleatória", "Bairro", "45000012", "433", "Vitória da Conquista"
"10000020013", "user1013@example.com", "Paciente_14", "BA", "Rua Aleatória", "Bairro", "45000013", "33", "Vitória da Conquista"
"10000020014", "user1014@example.com", "Paciente_15", "BA", "Rua Aleatória", "Bairro", "45000014", "31", "Vitória da Conquista"
"10000020015", "user1015@example.com", "Paciente_16", "BA", "Rua Aleatória", "Bairro", "45000015", "96", "Vitória da Conquista"
"10000020016", "user1016@example.com", "Paciente_17", "BA", "Rua Aleatória", "Bairro", "45000016", "224", "Vitória da Conquista"
"10000020017", "user1017@example.com", "Paciente_18", "BA", "Rua Aleatória", "Bairro", "45000017", "239", "Vitória da Conquista"
"10000020018", "user1018@example.com", "Paciente_19", "BA", "Rua Aleatória", "Bairro", "45000018", "518", "Vitória da Conquista"
"10000020019", "user1019@example.com", "Paciente_20", "BA", "Rua Aleatória", "Bairro", "45000019", "617", "Vitória da Conquista"
"10000020020", "user1020@example.com", "Paciente_21", "BA", "Rua Aleatória", "Bairro", "45000020", "28", "Vitória da Conquista"
"10000020021", "user1021@example.com", "Paciente_22", "BA", "Rua Aleatória", "Bairro", "45000021", "575", "Vitória da Conquista"
"10000020022", "user1022@example.com", "Paciente_23", "BA", "Rua Aleatória", "Bairro", "45000022", "204", "Vitória da Conquista"
"10000020023", "user1023@example.com", "Paciente_24", "BA", "Rua Aleatória", "Bairro", "45000023", "734", "Vitória da Conquista"
"10000020024", "user1024@example.com", "Paciente_25", "BA", "Rua Aleatória", "Bairro", "45000024", "666", "Vitória da Conquista"
"10000020025", "user1025@example.com", "Paciente_26", "BA", "Rua Aleatória", "Bairro", "45000025", "719", "Vitória da Conquista"
"10000020026", "user1026@example.com", "Paciente_27", "BA", "Rua Aleatória", "Bairro", "45000026", "559", "Vitória da Conquista"
"10000020027", "user1027@example.com", "Paciente_28", "BA", "Rua Aleatória", "Bairro", "45000027", "430", "Vitória da Conquista"
"10000020028", "user1028@example.com", "Paciente_29", "BA", "Rua Aleatória", "Bairro", "45000028", "226", "Vitória da Conquista"
"10000020029", "user1029@example.com", "Paciente_30", "BA", "Rua Aleatória", "Bairro", "45000029", "460", "Vitória da Conquista"
"10000020030", "user1030@example.com", "Paciente_31", "BA", "Rua Aleatória", "Bairro", "45000030", "604", "Vitória da Conquista"
"10000020031", "user1031@example.com", "Paciente_32", "BA", "Rua Aleatória", "Bairro", "45000031", "285", "Vitória da Conquista"
"10000020032", "user1032@example.com", "Paciente_33", "BA", "Rua Aleatória", "Bairro", "45000032", "829", "Vitória da Conquista"
"10000020033", "user1033@example.com", "Paciente_34", "BA", "Rua Aleatória", "Bairro", "45000033", "891", "Vitória da Conquista"
"10000020034", "user1034@example.com", "Paciente_35", "BA", "Rua Aleatória", "Bairro", "45000034", "7", "Vitória da Conquista"
"10000020035", "user1035@example.com", "Paciente_36", "BA", "Rua Aleatória", "Bairro", "45000035", "778", "Vitória da Conquista"
"10000020036", "user1036@example.com", "Paciente_37", "BA", "Rua Aleatória", "Bairro", "45000036", "826", "Vitória da Conquista"
"10000020037", "user1037@example.com", "Paciente_38", "BA", "Rua Aleatória", "Bairro", "45000037", "164", "Vitória da Conquista"
"10000020038", "user1038@example.com", "Paciente_39", "BA", "Rua Aleatória", "Bairro", "45000038", "715", "Vitória da Conquista"
"10000020039", "user1039@example.com", "Paciente_40", "BA", "Rua Aleatória", "Bairro", "45000039", "433", "Vitória da Conquista"
"10000020040", "user1040@example.com", "Paciente_41", "BA", "Rua Aleatória", "Bairro", "45000040", "349", "Vitória da Conquista"
"10000020041", "user1041@example.com", "Paciente_42", "BA", "Rua Aleatória", "Bairro", "45000041", "285", "Vitória da Conquista"
